area,priceperarea
Baró de Viver,287.4
Can Baró,554
Can Peguera - El Turó de la Peira,357.85
Ciutat Meridiana - Torre Baró - Vallbona,608.2
Diagonal Mar i el Front Marítim del Poblenou,"1,059.80"
El Baix Guinardó,642.6
El Besòs,506.7
El Bon Pastor,537.3
El Camp de l'Arpa del Clot,644
El Camp d'En Grassot i Gràcia Nova,725.4
El Carmel,511
El Clot,651.6
El Coll,557
El Congrés i els Indians,610.9
El Fort Pienc,768.1
El Gòtic,786
El Guinardó,612.9
El Parc i la Llacuna del Poblenou,748.8
El Poble Sec - Parc de Montjuïc,612.1
El Poblenou,735
El Putget i Farró,799.7
El Raval,625.8
Horta,579.9
Hostafrancs,624.6
La Barceloneta,602.6
La Bordeta,638.5
La Dreta de l'Eixample,"1,012.50"
La Font de la Guatlla,695.2
La Font d'En Fargues,723.5
La Guineueta,562.8
La Marina del Port,542.3
La Maternitat i Sant Ramon,756.6
La Nova Esquerra de l'Eixample,783.8
La Prosperitat,530.3
La Sagrada Família,713.1
La Sagrera,636.6
La Salut,705.2
La Teixonera,519.7
La Trinitat Nova,448.3
La Vall d'Hebron - La Clota,523.3
La Verneda i la Pau,610.7
La Vila Olímpica del Poblenou,"1,104.50"
L'Antiga Esquerra de l'Eixample,911.1
Les Corts,856.3
Les Roquetes - Canyelles,513.85
Les Tres Torres,"1,385.00"
Navas,672
Pedralbes,"1,730.00"
Porta,555
Provençals del Poblenou,661.4
Sant Andreu,613.3
Sant Antoni,765.6
Sant Genís Dels Agudells - Montbau,590.8
Sant Gervasi - Galvany,"1,156.30"
Sant Gervasi - La Bonanova,"1,046.40"
Sant Martí de Provençals,673.9
Sant Pere - Santa Caterina i la Ribera,723.4
Sants,653.3
Sants - Badal,626.6
Sarrià,"1,109.70"
Vallcarca i els Penitents,735.8
Vallvidrera - El Tibidabo i les Planes,"1,006.50"
Verdun,470.4
Vila de Gràcia,733.1
Vilapicina i la Torre Llobeta,586.6
Zona Franca - Port,404.7
